,item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss[0.025],Coverage[0.025],QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.25],Coverage[0.25],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.75],Coverage[0.75],QuantileLoss[0.9],Coverage[0.9],QuantileLoss[0.975],Coverage[0.975],RMSE,NRMSE,wQuantileLoss[0.025],wQuantileLoss[0.1],wQuantileLoss[0.25],wQuantileLoss[0.5],wQuantileLoss[0.75],wQuantileLoss[0.9],wQuantileLoss[0.975],mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,param
8,LK Amberg-Sulzbach {1},2018-01-22/2018-01-28,472.4712467783505,692.0,1637.0,16.876288659793815,1.8349753694581281,3.88780184044835,0.5943991156185374,0.6872825622558594,0.42272448539733887,50.709970248391336,61.650000000000006,0.0,207.4,0.010309278350515464,460.0,0.05154639175257732,692.0,0.20618556701030927,806.0,0.4536082474226804,631.4,0.6288659793814433,389.65000000000003,0.865979381443299,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 2"
0,aggregated {1},,642.2617212930032,242966.0,528476.0,13.288307769675637,1.4529494226422477,4.2514285108285,0.7846376098943574,0.8747885793536676,0.4597484086316124,48.469544730420274,21688.500000000004,0.0023635906462157385,72896.6,0.013854664319839038,152483.5,0.05199899421674614,242966.0,0.16602967060598486,268309.5,0.3451596680915265,208717.19999999998,0.5225044003017352,113602.00000000003,0.8168468694996222,25.342883050138617,1.90715653862051,0.04103970662811557,0.13793738977739767,0.2885343894519335,0.4597484086316124,0.5077042287634632,0.3949416813630136,0.21496151197026928,154380.47142857144,0.2921239023694007,0.22589173461690432,,"cl 4, nl 2, nc 64, ep 2"
8,LK Amberg-Sulzbach {2},2018-01-22/2018-01-28,744.4803479381443,906.0,1637.0,16.876288659793815,1.8349753694581281,5.09009894139625,0.7444567960851333,0.7901134001903045,0.553451418876648,65.11506261675777,65.60000000000001,0.0,230.79999999999998,0.020618556701030927,523.5,0.061855670103092786,906.0,0.24742268041237114,1071.0,0.44329896907216493,924.3999999999999,0.6082474226804123,513.9000000000001,0.9278350515463918,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 2"
0,aggregated {2},,1042.687434201508,307999.0,528476.0,13.288307769675637,1.4529494226422477,5.271020835458972,0.9207291049161014,0.9490812571484413,0.5828060309266646,78.75982277298267,23160.4,0.0036711088760372074,81649.6,0.0185818456122705,180882.5,0.063439778727684,307999.0,0.17412622579834086,357113.0,0.34342469197887887,304102.2,0.5147598692481767,199613.80000000002,0.8047774704551162,32.2906710088457,2.430006255765244,0.04382488514142554,0.15450010974954398,0.34227192909422566,0.5828060309266646,0.6757411878685124,0.5754323753585783,0.3777159227665968,207788.64285714287,0.39318463441507817,0.22531700132907082,,"cl 4, nl 2, nc 64, ep 2"
8,LK Amberg-Sulzbach {3},2018-01-22/2018-01-28,1005.7307506443299,1148.0,1637.0,16.876288659793815,1.8349753694581281,6.449705943402754,0.9908614439122817,0.8126113994701488,0.7012828588485718,90.38577457967205,65.85,0.0,243.4,0.030927835051546393,643.0,0.08247422680412371,1148.0,0.23711340206185566,1280.0,0.4639175257731959,1111.8000000000002,0.6185567010309279,738.5500000000002,0.865979381443299,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 2"
0,aggregated {3},,1403.3126494636176,367337.0,528476.0,13.288307769675637,1.4529494226422477,6.175589988063936,1.061609180545001,1.0198454258853291,0.6950873833438037,103.1415504083405,25512.600000000002,0.0059089766155393415,91777.4,0.025697762132260427,212027.0,0.07503143072667819,367337.0,0.18244908222278158,428220.5,0.3435252703042498,376282.6,0.5085994468192103,268605.10000000003,0.7965049031933613,37.46081485317181,2.8190809170343454,0.04827579681953391,0.17366427236052345,0.4012045958567655,0.6950873833438037,0.8102931826610859,0.7120145474912768,0.5082635729910158,252823.17142857146,0.4784004787891436,0.22318330399798844,,"cl 4, nl 2, nc 64, ep 2"
8,LK Amberg-Sulzbach {4},2018-01-22/2018-01-28,1169.5294780927834,1269.0,1637.0,16.876288659793815,1.8349753694581281,7.129509444406005,1.18648764666389,0.9607287675906451,0.7751985192298889,94.99270739638828,63.15,0.0,272.0,0.05154639175257732,701.5,0.09278350515463918,1269.0,0.26804123711340205,1435.5,0.4536082474226804,1203.0,0.5773195876288659,782.2500000000001,0.8865979381443299,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 2"
0,aggregated {4},,1667.5680298753207,413236.0,528476.0,13.288307769675637,1.4529494226422477,6.875364000637319,1.189383602208728,1.0782324396674543,0.781939009529288,118.92818830209639,27640.35,0.008498868493839561,103202.6,0.033517726929846524,240462.0,0.08488810661302482,413236.0,0.1886095046517479,477084.0,0.34450590897661587,423513.4,0.5042997234096049,313277.55000000005,0.789062107115915,40.835866953884064,3.0730675163223475,0.052301996684806874,0.1952834187361394,0.4550102559056608,0.781939009529288,0.9027543351069869,0.8013862502743739,0.5927942801565257,285487.98571428575,0.5402099351991116,0.22094543625848648,,"cl 4, nl 2, nc 64, ep 2"
8,LK Amberg-Sulzbach {1},2018-01-22/2018-01-28,613.9099548969073,800.0,1637.0,16.876288659793815,1.8349753694581281,4.494568601674392,0.692850673899931,0.7525637777228105,0.4886988401412964,52.14823220092714,63.400000000000006,0.0,202.4,0.010309278350515464,422.0,0.07216494845360824,800.0,0.2268041237113402,934.5,0.4639175257731959,798.4,0.6288659793814433,400.70000000000016,0.8865979381443299,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 4"
0,aggregated {1},,762.1774114760799,263470.0,528476.0,13.288307769675637,1.4529494226422477,4.549469053953859,0.8410623183466347,0.8961009156911988,0.49854676465913306,54.01610979164759,21844.850000000002,0.00238873522755846,75589.2,0.014131254714608965,160396.5,0.05604727181292415,263470.0,0.17261755091777747,297084.5,0.35612270555695263,234421.4,0.5331657027910486,129100.65000000004,0.7808901181795324,27.607560766501628,2.077582883014119,0.041335557338460026,0.143032417744609,0.30350763327000657,0.49854676465913306,0.5621532482080549,0.4435800301243576,0.24428857696470613,168843.87142857144,0.3194920326156182,0.22637666582851387,,"cl 4, nl 2, nc 64, ep 4"
8,LK Amberg-Sulzbach {2},2018-01-22/2018-01-28,880.5267396907217,979.0,1637.0,16.876288659793815,1.8349753694581281,5.500228326299038,0.8065269694608801,0.7391435262319204,0.5980452299118042,75.89079083927213,64.4,0.0,216.2,0.010309278350515464,509.0,0.08247422680412371,979.0,0.2268041237113402,1227.5,0.4742268041237113,1044.6,0.6082474226804123,611.0000000000002,0.865979381443299,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 4"
0,aggregated {2},,1117.3460847923197,315114.0,528476.0,13.288307769675637,1.4529494226422477,5.331982520082379,0.9411819004174519,0.948618513749822,0.5962692723983681,83.16669715253983,23103.75,0.0034699522252954456,81231.20000000001,0.01745033945184808,181118.0,0.06394267035453842,315114.0,0.18011063615790837,370721.5,0.35431229570027667,317371.19999999995,0.5256223283882325,210391.60000000003,0.770027659039476,33.42672710260937,2.5154991652804943,0.04371769011270143,0.1537083992461342,0.34271755008742116,0.5962692723983681,0.701491647681257,0.6005404218923848,0.3981100371634663,214150.17857142858,0.4052221455116762,0.22643773124034633,,"cl 4, nl 2, nc 64, ep 4"
8,LK Amberg-Sulzbach {3},2018-01-22/2018-01-28,1171.9526417525774,1198.0,1637.0,16.876288659793815,1.8349753694581281,6.730616481007403,1.044664270737592,0.9041233551807892,0.7318264842033386,88.64974745727531,66.05000000000001,0.0,256.0,0.041237113402061855,659.5,0.09278350515463918,1198.0,0.26804123711340205,1437.0,0.422680412371134,1199.0,0.6082474226804123,722.9000000000002,0.8762886597938144,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 4"
0,aggregated {3},,1495.8728790252499,371774.0,528476.0,13.288307769675637,1.4529494226422477,6.189197436714735,1.06658218528079,1.0177648205791734,0.7034832234576405,104.27928684826296,24340.050000000003,0.003972843852149856,90048.6,0.022831279859190284,209738.0,0.07372391249685671,371774.0,0.18722655267789864,437978.5,0.3530047774704555,383413.8,0.519839074679407,269189.3500000001,0.7626100075433736,38.676515859436584,2.910567434906775,0.046057058409464204,0.17039297905675946,0.39687327333691597,0.7034832234576405,0.8287575973175698,0.7255084431459518,0.5093691104231792,255211.75714285715,0.48292024073535444,0.22525593591723836,,"cl 4, nl 2, nc 64, ep 4"
8,LK Amberg-Sulzbach {4},2018-01-22/2018-01-28,1299.857280927835,1345.0,1637.0,16.876288659793815,1.8349753694581281,7.556493461565073,1.2009461346794577,0.9478066093043277,0.8216249346733093,94.62752369750224,65.05,0.010309278350515464,231.8,0.030927835051546393,753.5,0.12371134020618557,1345.0,0.23711340206185566,1469.5,0.4536082474226804,1227.6000000000001,0.5876288659793815,777.1000000000003,0.8865979381443299,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 4"
0,aggregated {4},,1720.1818656267217,408407.0,528476.0,13.288307769675637,1.4529494226422477,6.757848327443872,1.1650743834602175,1.0655013846593195,0.7728014138768837,117.46970908216703,25261.35,0.005230072919285886,96583.80000000002,0.02851395524264513,230197.0,0.08345486547648974,408407.0,0.19258234850389808,478293.0,0.3510435001257232,423814.0,0.5133517726929845,307121.55000000005,0.7563992959517212,41.475075233526965,3.121170577353309,0.0478003731484495,0.18275910353544914,0.4355864788561827,0.7728014138768837,0.9050420454287422,0.8019550556695101,0.5811456906273891,281382.52857142856,0.5324414515918009,0.22420345558389318,,"cl 4, nl 2, nc 64, ep 4"
8,LK Amberg-Sulzbach {1},2018-01-22/2018-01-28,611.4759987113403,771.0,1637.0,16.876288659793815,1.8349753694581281,4.331640489863696,0.6029978920431698,0.6642435977333471,0.47098350524902344,58.97435826472013,67.6,0.0,220.2,0.0,427.0,0.061855670103092786,771.0,0.20618556701030927,977.0,0.44329896907216493,805.3999999999999,0.5979381443298969,457.25000000000017,0.8865979381443299,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 8"
0,aggregated {1},,779.6631849613623,264711.0,528476.0,13.288307769675637,1.4529494226422477,4.5975812493780355,0.8532127706433615,0.9110525481672774,0.5008950264534245,59.57250462909612,22334.55,0.0019612773447322093,75821.0,0.013125471460900144,159459.5,0.053532813678652105,264711.0,0.1793311541362842,307376.5,0.35323107870254006,250966.99999999997,0.5219260749308526,144540.25000000003,0.7867990947950708,27.92244947996795,2.1012795582359938,0.04226218409161438,0.14347103747379256,0.30173461046480826,0.5008950264534245,0.5816281155624853,0.4748881689991598,0.2735039055699786,175029.97142857144,0.3311975783736091,0.22715614785013827,,"cl 4, nl 2, nc 64, ep 8"
8,LK Amberg-Sulzbach {2},2018-01-22/2018-01-28,903.2390463917526,981.0,1637.0,16.876288659793815,1.8349753694581281,5.511464747803224,0.9203602285946116,0.8227406037159455,0.5992669463157654,85.43051269632602,66.1,0.0,220.40000000000003,0.0,516.5,0.07216494845360824,981.0,0.26804123711340205,1226.0,0.4536082474226804,1070.1999999999998,0.5876288659793815,694.2000000000002,0.8762886597938144,,,,,,,,,,,,,,"cl 4, nl 2, nc 64, ep 8"
0,aggregated {2},,1147.5674407368112,320824.0,528476.0,13.288307769675637,1.4529494226422477,5.469582329670326,0.9916949601583992,0.9767185454139958,0.6070739257790325,88.65521394406869,23317.95,0.0029922051797837542,81565.20000000001,0.017701785265275286,182465.0,0.06522504400301715,320824.0,0.19006789036962582,383961.0,0.3515715363339203,335259.0,0.5171737490570785,227873.35000000003,0.7767915514206682,33.87576479928994,2.5492911051169034,0.044123006531990104,0.15434040524072998,0.3452663886344886,0.6070739257790325,0.7265438733263194,0.6343883165933741,0.4311895904449777,222180.7857142857,0.42041792950727325,0.2254966054815187,,"cl 4, nl 2, nc 64, ep 8"
