,mean_WIS,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/cardinality,config/cell_type,config/context_length,config/epochs,config/num_cells,config/num_layers,config/use_feat_dynamic_real,config/use_feat_static_cat,config/use_feat_static_real,logdir
0,585.4023418491485,622.1683619022369,False,,,1,73743_00000,52619c44258a46289ba0c337ab22826c,2023-04-19_15-27-20,1681910840,622.1683619022369,1902830,econ-stat-rr01,172.22.1.197,622.1683619022369,0,1,0.0057461261749267,,lstm,4,8,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00000_0_cardinality=None,cell_type=lstm,context_length=4,epochs=8,num_cells=10,num_layers=3,use_feat_dynamic_real=_2023-04-19_15-16-54"
1,737.3583289885297,564.7083818912506,False,,,1,73743_00001,c2ca969e77eb4e17864a2caa12d21477,2023-04-19_15-26-29,1681910789,564.7083818912506,1902972,econ-stat-rr01,172.22.1.197,564.7083818912506,0,1,0.0060245990753173,,gru,4,8,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00001_1_cardinality=None,cell_type=gru,context_length=4,epochs=8,num_cells=10,num_layers=3,use_feat_dynamic_real=T_2023-04-19_15-16-58"
2,536.2970194647202,991.560009241104,False,,,1,73743_00002,90d2717bca3e4ffcb49d2a0b363c0947,2023-04-19_15-33-36,1681911216,991.560009241104,1902975,econ-stat-rr01,172.22.1.197,991.560009241104,0,1,0.0049812793731689,,lstm,52,8,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00002_2_cardinality=None,cell_type=lstm,context_length=52,epochs=8,num_cells=10,num_layers=3,use_feat_dynamic_real_2023-04-19_15-16-58"
3,542.1500304136254,983.8281576633452,False,,,1,73743_00003,cf53aad9533f465e8e776793dd4f6ced,2023-04-19_15-33-28,1681911208,983.8281576633452,1902977,econ-stat-rr01,172.22.1.197,983.8281576633452,0,1,0.0059378147125244,,gru,52,8,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00003_3_cardinality=None,cell_type=gru,context_length=52,epochs=8,num_cells=10,num_layers=3,use_feat_dynamic_real=_2023-04-19_15-16-58"
4,524.1045012165449,1428.3922054767609,False,,,1,73743_00004,0b849704244e402a91c09f9952b8616c,2023-04-19_15-40-53,1681911653,1428.3922054767609,1902979,econ-stat-rr01,172.22.1.197,1428.3922054767609,0,1,0.005624771118164,,lstm,104,8,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00004_4_cardinality=None,cell_type=lstm,context_length=104,epochs=8,num_cells=10,num_layers=3,use_feat_dynamic_rea_2023-04-19_15-16-58"
5,543.5904283976365,1439.1519696712494,False,,,1,73743_00005,981527fa143544399547d63e58b030dc,2023-04-19_15-41-04,1681911664,1439.1519696712494,1902981,econ-stat-rr01,172.22.1.197,1439.1519696712494,0,1,0.0058739185333251,,gru,104,8,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00005_5_cardinality=None,cell_type=gru,context_length=104,epochs=8,num_cells=10,num_layers=3,use_feat_dynamic_real_2023-04-19_15-16-58"
6,513.3828597497393,1206.5091240406036,False,,,1,73743_00006,889ded0f43404a4d97caadee27c30705,2023-04-19_15-37-12,1681911432,1206.5091240406036,1902983,econ-stat-rr01,172.22.1.197,1206.5091240406036,0,1,0.0068650245666503,,lstm,4,20,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00006_6_cardinality=None,cell_type=lstm,context_length=4,epochs=20,num_cells=10,num_layers=3,use_feat_dynamic_real_2023-04-19_15-16-58"
7,550.2967674661106,1163.5647675991058,False,,,1,73743_00007,291ca875cb7d469aa2759015c2097406,2023-04-19_15-36-28,1681911388,1163.5647675991058,1902985,econ-stat-rr01,172.22.1.197,1163.5647675991058,0,1,0.0055902004241943,,gru,4,20,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00007_7_cardinality=None,cell_type=gru,context_length=4,epochs=20,num_cells=10,num_layers=3,use_feat_dynamic_real=_2023-04-19_15-16-58"
8,546.7934480361488,1706.1112797260284,False,,,1,73743_00008,4393551cebd64c5e8308023706e512f4,2023-04-19_15-45-31,1681911931,1706.1112797260284,1902987,econ-stat-rr01,172.22.1.197,1706.1112797260284,0,1,0.0059552192687988,,lstm,52,20,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00008_8_cardinality=None,cell_type=lstm,context_length=52,epochs=20,num_cells=10,num_layers=3,use_feat_dynamic_rea_2023-04-19_15-16-58"
9,529.8525851581509,1647.826743364334,False,,,1,73743_00009,35c94aebf2f54bedb17ea87daa0c7215,2023-04-19_15-44-32,1681911872,1647.826743364334,1902989,econ-stat-rr01,172.22.1.197,1647.826743364334,0,1,0.0056056976318359,,gru,52,20,10,3,True,False,False,"/home/reffert/ray_results/objective_2023-04-19_15-16-41/objective_73743_00009_9_cardinality=None,cell_type=gru,context_length=52,epochs=20,num_cells=10,num_layers=3,use_feat_dynamic_real_2023-04-19_15-16-58"
