LK Lörrach,219481
LK Waldshut,163141
LK Reutlingen,273646
LK Tübingen,212800
LK Zollernalbkreis,185129
SK Ulm,117541
LK Alb-Donau-Kreis,186444
LK Biberach,187508
LK Bodenseekreis,204483
LK Ravensburg,270129
LK Sigmaringen,127409
SK Ingolstadt,126076
SK München,1364920
SK Rosenheim,59543
LK Altötting,106342
LK Berchtesgadener Land,101263
LK Bad Tölz-Wolfratshausen,119733
LK Dachau,139921
LK Ebersberg,128870
LK Eichstätt,123961
LK Erding,126676
LK Freising,164232
LK Fürstenfeldbruck,203029
LK Garmisch-Partenkirchen,84234
LK Landsberg a.Lech,113539
LK Miesbach,93971
LK Mühldorf a.Inn,106803
LK München,320855
LK Neuburg-Schrobenhausen,90973
LK Pfaffenhofen a.d.Ilm,116973
LK Rosenheim,245264
LK Starnberg,128111
LK Traunstein,168827
LK Weilheim-Schongau,129060
SK Landshut,64277
SK Passau,48623
SK Straubing,44642
LK Deggendorf,114690
LK Freyung-Grafenau,78130
LK Kelheim,113191
LK Landshut,147758
LK Passau,184531
LK Regen,76525
LK Rottal-Inn,116849
LK Straubing-Bogen,96140
LK Dingolfing-Landau,90567
SK Amberg,41790
SK Regensburg,136352
SK Weiden i.d.OPf.,41734
LK Amberg-Sulzbach,103597
LK Cham,125504
LK Neumarkt i.d.OPf.,126746
LK Neustadt a.d.Waldnaab,96094
LK Regensburg,183161
LK Schwandorf,142630
LK Tirschenreuth,74483
SK Bamberg,70712
SK Bayreuth,71214
SK Coburg,40991
SK Hof,44511
LK Bamberg,143746
LK Bayreuth,105227
LK Coburg,87404
LK Forchheim,112986
LK Hof,98787
LK Kronach,69599
LK Kulmbach,73710
LK Lichtenfels,67245
LK Wunsiedel i.Fichtelgebirge,75441
SK Ansbach,39600
SK Erlangen,104312
SK Fürth,116640
SK Nürnberg,490085
SK Schwabach,38610
LK Ansbach,178262
LK Erlangen-Höchstadt,130747
LK Fürth,113259
LK Nürnberger Land,164079
LK Neustadt a.d.Aisch-Bad Windsheim,97518
LK Roth,123120
LK Weißenburg-Gunzenhausen,92182
SK Aschaffenburg,67470
SK Schweinfurt,52118
SK Würzburg,124449
LK Aschaffenburg,172351
LK Bad Kissingen,103653
LK Rhön-Grabfeld,80469
LK Haßberge,84440
LK Kitzingen,87731
LK Miltenberg,128122
LK Main-Spessart,127154
LK Schweinfurt,112991
LK Würzburg,158128
SK Augsburg,269402
SK Kaufbeuren,41460
SK Kempten,64300
SK Memmingen,41242
LK Aichach-Friedberg,126720
LK Augsburg,237839
LK Dillingen a.d.Donau,93212
LK Günzburg,120134
LK Neu-Ulm,164388
LK Lindau,78455
LK Ostallgäu,133607
LK Unterallgäu,135597
LK Donau-Ries,128072
LK Oberallgäu,148691
LK Stadtverband Saarbrücken,326996
LK Merzig-Wadern,103639
LK Neunkirchen,134957
LK Saarlouis,197452
LK Saarpfalz-Kreis,145099
LK Sankt Wendel,89712
SK Brandenburg a.d.Havel,71381
SK Cottbus,99974
SK Frankfurt (Oder),59063
SK Potsdam,157603
LK Barnim,172572
LK Dahme-Spreewald,160108
LK Elbe-Elster,109087
LK Havelland,152915
LK Märkisch-Oderland,187085
LK Oberhavel,201199
LK Oberspreewald-Lausitz,116898
LK Oder-Spree,177764
LK Ostprignitz-Ruppin,99753
LK Potsdam-Mittelmark,203391
LK Prignitz,79574
LK Spree-Neiße,121571
LK Teltow-Fläming,159511
LK Uckermark,123731
SK Rostock,201813
SK Schwerin,91327
LK Mecklenburgische Seenplatte,266593
LK Rostock,211863
LK Vorpommern-Rügen,224751
LK Nordwestmecklenburg,156004
LK Vorpommern-Greifswald,240971
